,toxic
178,0
455,0
41,0
447,0
499,0
14,0
110,0
156,0
288,0
499,0
477,0
230,0
410,0
419,0
156,0
37,0
440,0
96,0
484,0
410,0
438,0
288,0
253,0
195,0
85,0
321,0
9,0
4,0
122,0
329,0
352,0
117,0
293,0
396,0
158,0
302,0
227,0
364,0
215,0
435,0
183,0
14,0
156,0
135,0
260,0
156,0
46,0
323,0
331,0
172,0
129,0
410,0
94,0
114,0
242,0
419,0
291,0
281,0
298,1
282,0
68,0
147,0
10,0
253,0
329,0
359,0
37,0
133,0
199,0
22,0
302,0
345,0
301,0
362,0
395,0
217,0
140,0
103,0
445,0
209,0
472,0
480,0
110,0
103,0
315,0
170,0
459,0
491,0
355,0
495,0
323,0
132,0
375,0
292,0
327,0
126,0
105,1
496,0
91,0
286,1
377,0
392,1
50,0
28,0
461,0
295,1
296,0
213,0
266,0
406,0
256,0
301,0
100,0
404,0
345,0
109,0
419,0
181,1
470,0
312,1
0,0
318,1
437,1
54,0
370,0
423,1
398,0
148,0
430,0
456,0
308,0
136,0
201,1
435,0
312,1
116,0
153,0
424,0
290,0
62,0
243,0
24,0
89,0
74,0
293,0
385,0
390,0
209,0
474,0
417,0
346,0
16,1
127,0
426,0
442,1
363,0
250,0
178,0
181,1
151,1
24,0
454,0
179,1
197,0
343,0
160,0
176,1
284,0
62,0
490,0
149,0
153,0
155,0
369,0
468,0
48,0
454,0
336,0
83,0
360,0
176,1
147,0
117,0
341,0
475,0
62,0
188,0
359,0
48,0
326,0
256,0
223,0
140,0
477,0
214,0
434,0
378,0
439,1
210,0
317,0
31,0
157,0
284,0
304,0
428,0
476,1
285,0
143,0
423,1
18,0
17,0
256,0
77,0
370,0
174,0
497,1
193,0
475,0
112,0
113,0
221,0
165,0
434,0
318,1
131,0
384,0
263,0
412,0
54,0
358,0
130,0
287,0
265,0
457,0
466,0
365,0
161,0
379,0
480,0
86,1
54,0
475,0
287,0
177,0
390,0
348,0
7,0
320,0
312,1
246,0
322,0
471,0
470,0
442,1
254,0
327,0
53,0
248,0
238,1
228,0
66,0
50,0
96,0
91,0
494,0
263,0
417,0
290,0
95,0
87,0
77,0
287,0
119,0
301,0
490,0
399,0
451,1
499,0
164,0
181,1
468,0
397,0
222,0
310,0
431,0
465,0
6,1
329,0
262,0
160,0
150,0
84,0
146,0
111,0
380,0
402,0
35,0
284,0
187,0
81,0
1,0
384,0
302,0
196,0
403,0
10,0
233,0
385,0
194,0
470,0
118,0
395,0
19,0
260,0
292,0
421,0
255,0
221,0
392,1
225,0
52,0
427,0
354,0
499,0
341,0
363,0
279,0
80,0
201,1
157,0
119,0
58,1
493,0
214,0
127,0
223,0
208,0
369,0
114,0
208,0
13,0
8,0
39,0
449,0
236,0
280,0
358,0
200,0
245,0
277,0
234,0
493,0
3,0
153,0
441,0
28,0
108,0
97,0
214,0
292,0
74,0
325,0
145,0
127,0
340,0
41,0
355,0
40,0
421,0
33,0
16,1
164,0
152,0
485,0
377,0
75,0
86,1
116,0
361,0
341,0
468,0
26,0
312,1
286,1
133,0
218,1
167,0
97,0
267,0
236,0
308,0
454,0
393,0
172,0
400,0
409,0
468,0
475,0
189,0
121,0
45,0
63,0
129,0
309,0
362,0
192,0
306,0
180,0
291,0
370,0
281,0
28,0
148,0
266,0
295,1
10,0
163,0
112,0
186,0
294,0
231,1
226,0
309,0
97,0
54,0
110,0
151,1
245,0
405,0
68,0
311,0
288,0
249,0
35,0
238,1
147,0
466,0
226,0
243,0
490,0
336,0
445,0
364,0
490,0
481,0
200,0
153,0
449,0
72,0
200,0
295,1
16,1
128,0
216,0
60,0
426,0
103,0
41,0
24,0
38,0
290,0
130,0
497,1
228,0
107,0
171,0
434,0
477,0
101,0
353,0
11,0
274,0
100,0
43,1
442,1
304,0
444,0
16,1
329,0
56,1
310,0
496,0
302,0
11,0
317,0
79,1
215,0
338,0
263,0
478,0
148,0
80,0
214,0
484,0
373,0
463,0
197,0
199,0
24,0
465,0
88,0
267,0
142,0
58,1
409,0
488,0
364,0
25,0
46,0
287,0
265,0
15,0
198,0
400,0
406,0
281,0
468,0
85,0
249,0
390,0
269,0
334,0
116,0
6,1
136,0
370,0
175,0
327,0
497,1
314,0
214,0
476,1
81,0
222,0
477,0
371,0
422,0
482,0
401,0
442,1
489,0
102,0
272,0
13,0
158,0
151,1
482,0
107,0
187,0
300,1
